#,Header,Format,20020003,,X1,,,X2,,,Y1,,,Y2,
#,Ref,Ch:,Board,0,-,Channel,0,,,,,,,,
#,[Bref][Cref],Tstamp_ps,Energy,:,[Bx][Cx],deltaT_ns,Energy,...,,,,,,,
[00][00],2466487498000,396,:,[00][01],20.811,0,[00][02],84.624,512,[00][03],115.499,387,[00][04],33.499,394
[00][00],2658138329155,439,:,[00][01],21.094,0,[00][02],78.469,447,[00][03],49.969,395,[00][04],175.594,146
[00][00],2687327088749,400,:,[00][01],21.687,0,[00][02],110.343,832,[00][03],108.125,308,[00][04],41.251,313
[00][00],2768752026186,275,:,[00][01],21.125,0,[00][02],70.814,279,[00][03],59.814,235,[00][04],90.814,199
[00][00],2850033718405,690,:,[00][01],21.562,200,[00][02],121.031,1634,[00][03],75.156,600,[00][04],74.312,575
[00][00],2887873705545,882,:,[00][01],21.11,84,[00][02],53.891,964,[00][03],49.547,858,[00][04],100.704,794
[00][00],2904168493000,501,:,[00][01],21.342,0,[00][02],73.936,517,[00][03],84.061,422,[00][04],65.061,401
[00][00],2934111230655,855,:,[00][01],21.203,303,[00][02],82.937,981,[00][03],110.281,741,[00][04],38.187,718
[00][00],3006745521452,2737,:,[00][01],21.101,2100,[00][02],19.548,2760,[00][03],31.109,2257,[00][04],114.828,2322
[00][00],3022732346655,310,:,[00][01],21.345,0,[00][02],43.656,351,[00][03],44.281,309,[00][04],106.969,269
[00][00],3043542368530,400,:,[00][01],20,0,[00][02],70.844,469,[00][03],135.531,403,[00][04],14.47,419
[00][00],3085968965577,632,:,[00][01],21.203,0,[00][02],60.547,542,[00][03],64.484,436,[00][04],85.453,399
[00][00],3129496107577,837,:,[00][01],21.25,999,[00][02],32.562,920,[00][03],49.906,804,[00][04],99.703,735
[00][00],3187751950749,221,:,[00][01],21.125,0,[00][02],102.875,426,[00][03],66.251,161,[00][04],84.5,144
[00][00],3212813158499,1757,:,[00][01],21.234,798,[00][02],20,1729,[00][03],42.39,1461,[00][04],106.093,1445
[00][00],3291603426874,276,:,[00][01],21.187,0,[00][02],112.312,608,[00][03],58.812,210,[00][04],92.187,199
[00][00],3309590784842,496,:,[00][01],82.158,346,[00][02],135.407,1177,[00][03],59.813,442,[00][04],89.969,411
[00][00],3346677916467,408,:,[00][01],21.313,252,[00][02],41.533,448,[00][03],38.063,382,[00][04],112.594,365
[00][00],3359729415803,1476,:,[00][01],21.399,284,[00][02],109.633,3403,[00][03],63.008,1383,[00][04],75.133,1416
